Official Name State;Year;Official Code Local Government Area;Official Code State;Iso 3166-3 Area Code;Official Name Local Government Area
Victoria;2021;21750;2;AUS;Colac Otway
Victoria;2021;22670;2;AUS;Greater Dandenong
Victoria;2021;22910;2;AUS;Hepburn
Victoria;2021;24410;2;AUS;Maroondah
Victoria;2021;24850;2;AUS;Mitchell
Victoria;2021;23350;2;AUS;Indigo
Victoria;2021;26610;2;AUS;Swan Hill
Victoria;2021;22250;2;AUS;Gannawarra
Victoria;2021;20830;2;AUS;Baw Baw
Victoria;2021;21110;2;AUS;Boroondara
